time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-06-27,1e-8,10.0534397727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-28,1e-8,10.0490538456938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-29,1e-8,10.0446679186603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-30,1e-8,10.0402819916268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,1e-8,10.0358960645933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-02,1e-8,10.0315101375598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-03,1e-8,10.0271242105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-04,1e-8,10.1135649902534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-05,1e-8,10.2000057699805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-06,1e-8,10.2864465497076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-07,1e-8,10.3728873294347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-08,1e-8,10.4593281091618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-09,1e-8,10.5457688888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-10,1e-8,10.4874795663957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-11,1e-8,10.4291902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-12,1e-8,10.4766412336515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-13,1e-8,10.5240922234005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-14,1e-8,10.5715432131495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-15,1e-8,10.6189942028986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-16,1e-8,10.6456001756697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-17,1e-8,10.6722061484409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-18,1e-8,10.6988121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-19,1e-8,10.6695420909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-20,1e-8,10.6402720606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-21,1e-8,10.611002030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-22,1e-8,10.581732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-23,1e-8,10.6027823722944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-24,1e-8,10.6238327445887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-25,1e-8,10.6448831168831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-26,1e-8,10.6813761017073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-27,1e-8,10.7178690865314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-28,1e-8,10.7543620713556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-29,1e-8,10.7908550561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-30,1e-8,10.7614798075681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-31,1e-8,10.7321045589565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,1e-8,10.7027293103448,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,1e-8,10.8304487684729,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,1e-8,10.958168226601,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,1e-8,11.0858876847291,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,1e-8,11.2136071428571,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,1e-8,11.2806765133172,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,1e-8,11.3477458837772,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,1e-8,11.4148152542373,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,1e-8,11.7647758474576,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
